year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1971,0,0,0,46.2,0,0.8,0,0,0.6,0,0,0.1,0,0.6,1.4,1.1,0,0,4,0,0,9.8,0.9,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,3.2,0,0.2,0.3,0,0,0.1,0.1,0.1,1.4,0,0.1,0,0,0,0.2,0.8,4.6
1972,0,0,0,44.3,0,0.8,0,0,0.6,0,0.1,0.1,0,0.6,1,1.2,0,0,4.2,0,0,9.2,0.6,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,2.8,0,0.2,0.3,0,0,0.1,0.1,0.1,1.2,0,0.1,0,0,0,0.2,0.8,4.4
1973,0,0,0,44.4,0,0.8,0,0,0.5,0,0,0.1,0,0.6,1,1.3,0,0,3.9,0,0,9.1,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.1,0,0.2,0.2,0,0,0.1,0.1,0.1,1,0,0.1,0,0,0,0.2,0.8,4.2
1974,0,0,0,42.4,0,0.8,0,0,0.5,0,0,0.1,0,0.6,1.1,1.4,0,0,3.8,0,0,9,0.6,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.9,0,0.2,0.2,0,0,0.1,0.1,0.1,0.9,0,0.1,0,0,0,0.2,0.8,4
1975,0,0,0,41.3,0,0.8,0,0,0.5,0,0,0.1,0,0.4,1.6,1.5,0,0,3.8,0,0,8.6,0.4,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,2.8,0,0.1,0.1,0,0,0.1,0.1,0.1,0.9,0,0.1,0,0,0,0.2,0.8,4
1976,0,0,0,40.8,0,0.8,0,0,0.5,0,0,0.1,0,0.4,2.7,1.6,0,0,3.8,0,0,8.2,0.5,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,2.8,0,0.2,0.1,0,0,0.2,0.1,0.1,0.9,0,0.1,0,0,0,0.2,0.8,3.8
1977,0,0,0,36.3,0,0.8,0,0,0.5,0,0.1,0.1,0,0.3,1.3,1.6,0,0,4,0,0,8.4,0.4,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,2.6,0,0.2,0.1,0,0,0.3,0.1,0.2,0.6,0,0.1,0,0,0,0.2,0.8,3.3
1978,0,0,0,37.2,0,0.8,0,0,0.6,0,0,0,0,0.2,1.5,0.8,0,0,4.5,0,0,8.4,0.2,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,1.8,0,0.1,0.1,0,0,0.1,0.1,0.1,0.6,0,0.1,0,0,0,0.2,0.8,3.7
1979,0,0,0,38.9,0,0.8,0,0,0.5,0,0,0,0,0.2,1.8,0.5,0,0,4.7,0,0,8.4,0.3,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,1.9,0,0.1,0.1,0,0,0.1,0.1,0.1,0.6,0,0.1,0,0,0,0.2,0.8,3.8
1980,0,0,0,47.3,0,0.8,0,0,0.7,0,0,0.1,0,0.2,2.6,0.5,0,0,5.2,0,0,8.4,0.7,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,2.6,0,0.3,0.1,0,0,0.1,0.1,0.1,0.8,0,0.1,0,0,0,0.2,0.8,3.6
1981,0,0,0,45.6,0,0.8,0,0,0.7,0,0,0,0,0.2,1.5,0.5,0,0,5.5,0,0,8.9,0.5,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,1.8,0,0.2,0.1,0,0,0.3,0.1,0.1,1.1,0,0.1,0,0,0,0.2,0.8,2.5
1982,0,0,0,49.2,0,0.8,0,0,0.8,0,0,0.1,0,0.2,2.8,0.5,0,0,5.3,0,0,9.9,0.7,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,2.6,0,0.4,0.1,0,0,0.3,0.1,0.1,1.2,0,0.1,0,0,0,0.2,0.8,4.1
1983,0,0,0,47.6,0,0.8,0,0,0.8,0,0,0.1,0,0.2,2.5,0.6,0,0,5,0,0,10.7,0.5,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,2.5,0,0.3,0.1,0,0,0.3,0.1,0.1,1.1,0,0.1,0,0,0,0.2,0.8,4.1
1984,0,0,0,49.4,0,0.8,0,0,0.8,0,0,0,0,0.2,1.5,0.6,0,0,4.9,0,0,9.9,0.5,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,2.6,0,0.3,0.1,0,0,0.3,0.1,0.1,1.1,0,0.1,0,0,0,0.2,0.8,4.2
1985,0,0,0,49.4,0,0.8,0,0,0.7,0,0,0,0,0.2,2.7,0.6,0,0,5,0,0,10,0.5,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,2.6,0,0.3,0.1,0,0,0.3,0.2,0.1,0.9,0,0.1,0,0,0,0.2,0.7,4.1
1986,0,0,0,51.8,0,0.8,0,0,0.9,0,0,0,0,0.3,2.6,0.6,0,0,4.9,0,0,9.9,0.6,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,2.6,0,0.3,0.1,0,0,0.3,0.2,0.1,0.8,0,0.1,0,0,0,0.2,0.7,4.6
1987,0,0,0.1,51.1,0,0.8,0,0,0.9,0,0,0.1,0,0.4,1.4,0.6,0,0,4.7,0,0,10.6,0.7,0,0,0,0,0,0,0.3,0,0,0,0.3,0.4,0.3,1.5,0,0.4,0.2,0.1,0,0.2,0.2,0.1,0.8,0,0.1,0,0,0,0.2,0.8,4
1988,0,0,0.1,52.6,0,0.7,0,0,0.9,0,0,0,0,0.8,1.6,0.6,0,0,4.7,0,0,11.1,0,0,0,0,0,0,0,0.4,0,0,0,0.3,0.3,0.6,1.4,0,0.4,0.2,0.1,0,0.2,0.1,0.1,0.7,0,0.1,0,0,0,0.2,0.7,4.8
1989,0,0,0.1,50.4,0,0.7,0,0,0.8,0,0,0.1,0,1.7,1.5,0.5,0,0,4.1,0,0,10.9,0,0,0,0,0.1,0,0,0.4,0,0,0,0.3,0.5,0.6,1.3,0,0.3,0.1,0.1,0,0.1,0.2,0.1,0.7,0,0.1,0,0,0,0.2,0.7,4.6
1990,0,0,0.1,52.7,0,0.7,0,0,0.5,0,0.1,0,0,0.9,2.4,0.5,0,0,4.6,0,0,10.6,0,0,0,0,0,0,0,0.4,0,0,0,0.3,0.5,0.2,1.3,0,0.2,0.1,0.1,0,0.1,0.3,0.1,0.6,0,0.1,0,0,0,0.2,0.6,4.4
1991,0,0,0.1,51,0,0.6,0,0,0.7,0,0,0,0,0.4,1.5,0.5,0,0,4.4,0,0,10.2,0,0,0,0,0,0,0,0.3,0,0,0,0.2,0.6,0.4,1,0,0.2,0.2,0,0,0.1,0.1,0.1,0.6,0,0.1,0,0,0,0.2,0.6,4.4
1992,0,0,0.1,46.2,0,0.5,0,0,0.7,0,0,0.1,0,0.6,1.1,0.4,0,0,4.4,0,0,10.1,0,0,0,0,0,0,0,0.3,0,0,0,0.2,0.6,0.7,0.8,0,0.2,0.2,0,0,0.1,0.1,0.1,0.6,0,0.1,0,0,0,0.1,0.5,4.6
1993,0,0,0.1,45.7,0,0.5,0,0,0.6,0,0,0,0,0.5,1.3,0.4,0,0,4.6,0,0,8.5,0,0,0,0,0.1,0,0,0.3,0,0,0,0.2,0.4,0.7,0.7,0,0.2,0.2,0.1,0,0.2,0.2,0,0.6,0,0.1,0,0,0,0.1,0.4,4.8
1994,0,0,0.1,50.9,0,0.3,0,0,0.6,0.1,0,0,0,1.3,1.4,0.4,0,0,4.4,0,0,9.2,0.2,0,0,0,0.1,0,0,0.3,0,0,0,0.2,0.5,0.5,1.4,0,0.2,0.3,0.1,0,0.1,0.1,0,0.7,0,0.1,0,0,0,0.1,0.3,4.6
1995,0,0,0.1,46.9,0,0.5,0,0,0.6,0,0.1,0,0,2.3,1.5,0.8,0,0,3.9,0,0,10.1,2.5,0,0,0,0,0,0,0.4,0,0,0,0.2,0.3,0.3,1.1,0,0,0.3,0.1,0,0.1,0.1,0,0.7,0,0.1,0,0,0,0.1,0.3,4.3
1996,0,0,0.1,46,0,0.4,0,0,0.6,0,0.1,0,0,2.5,1.5,0.9,0,0,4,0,0,9.4,3.1,0,0,0,0,0,0,0.4,0,0,0,0.2,0.4,0.2,1,0,0.2,0.2,0.1,0,0.1,0,0,0.7,0,0.1,0,0,0,0.1,0.3,4.4
1997,0,0,0.1,52.4,0,0.2,0,0,0.6,0.1,0.1,0.5,0,2.3,1.5,0.9,0,0,4.6,0,0,9.7,1.9,0,0,1,0,0,0,0.4,0,0,0,0.2,0.2,0.1,0.7,0,0.2,0.2,0.1,0,0.1,0.2,0.1,0.8,0,0.1,0,0,0,0,0.3,4.5
1998,0,0,0.1,52.8,0.1,0.2,0,0,0.7,0.1,0.1,0.5,0,2.4,0.8,1,0,0,4.5,0,0,9.8,1.3,0,0,0.6,0,0,0,0.4,0,0,0,0.2,0.3,0,0.7,0,0.1,0.2,0,0,0.2,0.1,0.1,0.8,0,0.1,0,0,0,0,0.3,4.3
1999,0,0,0.1,55.6,0.1,0.4,0,0,0.6,0.2,0.1,0.7,0,2.3,0.7,1,0,0,4.5,0,0,9.7,1.3,0,0,0.7,0,0,0,0.4,0,0,0,0.4,0.5,0,0.7,0,0.1,0.1,0,0,0.2,0,0.1,0.9,0,0.1,0,0,0,0.1,0.3,3.7
2000,0,0,0.1,60.1,0.1,0.4,0,0,0.4,0.1,0.4,0.8,0,2.3,0.7,1,0,0.2,4.5,0.2,0,9.8,1.9,0.1,0,0.8,0,0,0,0.5,0,0,0,0.4,0.4,0.1,0.6,0,0.2,0.3,0.1,0,0.2,0.1,0.1,1,0,0.1,0,0,0,0.1,0.5,4.2
2001,0,0,0.1,60.7,0.1,0.4,0,0,0.4,0.1,0.3,0.7,0,2.5,0.7,0.9,0,0.2,4.6,0.2,0,9.9,1.6,0,0,0.8,0.1,0,0,0.4,0,0.1,0,0.4,0.4,0.2,0.5,0,0.2,0.3,0.1,0,0.3,0.1,0.1,0.9,0,0.1,0,0,0,0.1,0.5,4.1
2002,0,0,0.1,63.2,0.1,0.4,0,0,0.4,0.1,0.3,0.7,0,2.6,0.6,1,0,0,4.7,0.2,0,10,1.2,0,0,0.9,0,0,0,0.1,0,0,0,0.3,0.6,0.1,0.5,0,0.1,0.3,0.1,0,0.2,0.1,0,1,0,0.1,0,0,0,0.1,0.4,3.5
2003,0,0,0,58.3,0,0.2,0,0,0.6,0,0.2,0.7,0,3.1,0.4,0.7,0,0.2,5.6,0,0,9.2,0.9,0,0,0.7,0.2,0,0,0,0,0.1,0,0.3,0.7,0,0.4,0,0.1,0.5,0,0,0.2,0,0,0.8,0,0.1,0,0,0,0.1,0.5,3.9
2004,0,0,0,54.8,0,0.2,0,0,0.6,0,0.3,1.4,0,3.1,0.3,0.5,0,0.1,5.3,0,0,8.5,1,0,0,0.5,0.3,0,0,0,0,0,0,0.2,0.6,0,0.2,0,0.2,0.1,0,0,0.2,0.1,0,0.9,0,0.1,0,0,0,0.1,0.5,3.2
2005,0,0,0.1,55.2,0.1,0.3,0,0,0.3,0.1,0.4,1.2,0,0.8,0.4,1,0,0.3,5.1,0.3,0,7.3,2.3,0,0,0.6,0,0,0,0.3,0,0,0,0.5,0.6,0.2,0.3,0,0.2,0.2,0.1,0,0.3,0.2,0.1,0.7,0,0.1,0,0,0,0.1,0.4,3.8
2006,0,0,0.1,57.6,0.1,0.4,0,0,0.3,0.1,0.4,0.8,0,0.6,0,0.9,0,0.3,5,0.3,0,8.5,2.2,0,0,0.6,0.1,0,0,0.3,0,0,0,0.4,0.6,0.4,0.3,0,0.2,0.3,0.1,0,0.4,0.3,0.1,0.8,0,0.1,0,0,0,0.1,0.5,3.8
2007,0,0,0.1,57.1,0.1,0.4,0,0,0.3,0.1,0.4,0.5,0,0.7,0.1,1.1,0,0.4,5,0.3,0,9.1,2.2,0,0,0.5,0.1,0,0,0.3,0,0,0,0.4,0.7,0.3,0.3,0,0.2,0.3,0.1,0,0.3,0.3,0.1,0.8,0,0.1,0,0,0,0.1,0.5,3.9
2008,0,0,0.1,57.4,0.1,0.4,0,0,0.3,0.3,0.3,0.5,0,1.2,0.1,1.1,0,0.3,5.1,0.4,0,8.3,2.3,0,0,0.6,0,0,0,0.3,0,0,0,0.3,0.7,0.1,0.4,0,0.2,0.3,0.1,0,0.4,0.3,0.1,0.6,0,0.1,0,0,0,0.1,0.5,3.7
2009,0,0,0.1,57.8,0.1,0.3,0,0,0.4,0.3,0.4,0.4,0,0.9,0.2,1.1,0,0.4,5.1,0.1,0,8.5,3.2,0,0,0.8,0,0,0,0.5,0,0,0,0.3,0.5,0,0.3,0,0.2,0.7,0.1,0,0.3,0.3,0,0.7,0,0.1,0,0,0,0.1,0.6,3.5
