"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1975,21,0,45,318,73,14,106,0,0,77,0,0,251,1,388,1,0,14,0,0,0,0,9,0,0,90,6,1,122,0,0,0,0,0,0,0,2,0,0,0,0,380,4,89,4,180,2,0,0,175,10,1,0,20
1976,23,0,76,287,79,12,87,0,0,104,0,0,286,1,380,1,0,13,0,0,0,0,2,0,0,98,7,0,111,0,0,0,0,0,0,0,2,0,0,0,0,357,3,96,4,195,2,0,0,159,10,0,0,20
1977,23,0,61,333,93,17,71,0,0,128,0,0,337,1,393,1,0,13,0,0,0,0,2,0,0,99,16,0,93,0,0,0,0,0,0,0,2,0,0,0,0,265,3,91,4,205,2,1,0,181,15,1,0,22
1978,23,0,48,358,102,9,65,0,0,124,0,0,340,1,417,1,0,13,0,0,0,0,2,0,0,105,8,1,139,0,0,0,0,0,0,0,3,0,0,0,0,236,3,95,4,217,2,1,0,176,12,1,0,22
1979,18,0,40,340,102,0,67,0,0,100,0,0,316,1,429,1,0,13,0,0,0,0,7,0,0,106,19,1,106,0,0,0,0,0,0,0,2,0,0,0,0,254,4,101,5,189,1,0,0,185,13,0,0,21
1980,17,0,40,366,108,0,67,0,0,67,0,0,316,2,437,1,0,13,0,0,0,0,10,0,0,113,27,1,67,0,0,0,0,0,0,0,2,0,0,0,0,257,5,106,5,168,2,1,0,192,12,1,0,24
1981,21,0,40,386,105,0,40,0,0,114,0,0,298,1,372,1,0,13,0,0,0,0,10,0,0,91,77,1,31,0,0,0,0,0,0,0,2,0,0,0,0,304,4,102,5,152,2,1,0,212,13,2,0,24
1982,19,0,49,407,111,0,53,0,0,135,0,0,311,2,410,1,0,14,0,0,0,0,11,0,0,94,108,1,20,0,0,0,0,0,0,0,2,0,0,0,1,242,5,110,4,129,2,1,0,208,15,2,0,25
1983,20,0,51,385,123,0,46,0,0,134,0,0,340,1,434,1,0,12,0,0,1,0,12,0,0,96,91,1,19,0,0,0,0,0,0,0,2,0,0,0,1,290,5,106,4,121,2,2,0,203,13,2,0,25
1984,21,0,54,426,131,0,12,0,0,165,0,0,353,1,462,1,0,13,0,0,1,0,13,0,0,122,92,2,19,0,0,0,0,0,0,0,2,0,0,0,1,242,5,112,4,107,2,1,0,202,15,3,0,25
1985,15,0,47,440,131,0,6,0,0,180,0,0,384,2,450,1,0,11,0,0,1,0,13,0,0,102,30,1,18,0,0,7,0,0,0,0,2,0,0,0,1,262,7,117,4,83,3,1,0,206,8,3,0,25
1986,13,0,43,397,134,0,145,0,0,139,0,0,326,2,444,1,0,12,0,0,1,0,10,0,0,99,23,1,15,8,0,11,1,0,0,0,2,0,0,0,1,261,8,111,5,100,5,1,0,224,5,4,0,24
1987,10,0,31,387,121,0,99,0,0,161,0,0,314,1,413,1,0,12,0,0,1,0,12,3,0,126,29,1,17,27,0,9,1,0,0,0,2,0,0,0,1,262,6,106,4,107,4,1,0,221,3,3,0,24
1988,8,0,30,372,122,0,98,0,0,158,0,0,337,1,417,1,0,12,0,0,1,0,14,2,0,152,24,1,17,26,0,9,0,1,0,0,2,0,0,0,1,284,5,97,5,113,4,1,0,214,3,3,0,24
1989,6,0,21,329,109,0,130,0,0,155,0,0,272,1,408,1,0,12,0,0,1,0,15,4,0,155,28,1,13,108,0,8,2,1,0,0,2,0,0,0,0,299,4,93,5,122,5,1,0,207,4,3,0,23
1990,5,0,19,294,97,13,154,0,0,153,0,0,237,1,376,1,0,12,0,0,1,1,13,1,0,152,23,1,78,2,0,13,3,1,0,0,2,0,0,0,0,300,3,86,5,148,1,0,0,193,1,2,5,22
1991,8,0,17,351,107,0,133,0,0,249,0,0,309,1,404,1,0,15,0,0,1,1,14,1,0,157,29,1,76,2,0,9,2,1,0,0,2,0,0,0,0,295,5,80,5,155,1,1,0,149,2,3,3,21
1992,8,0,16,366,86,0,74,0,0,269,0,0,315,1,403,1,0,11,0,0,1,1,15,0,0,140,38,0,61,5,0,13,3,1,0,0,2,0,0,0,0,293,4,72,5,152,2,1,0,146,1,3,4,21
1993,6,0,18,405,80,1,69,0,0,284,0,0,316,1,381,1,0,11,0,0,1,1,17,2,0,143,25,0,88,2,0,12,3,1,0,0,2,0,0,0,0,264,5,80,5,127,3,1,0,168,1,3,6,21
1994,6,0,14,352,70,1,69,0,0,316,0,0,295,1,383,1,0,11,0,0,1,0,10,0,0,140,25,1,87,2,0,11,2,1,0,0,2,0,0,0,0,244,2,77,5,157,2,0,0,154,3,2,6,19
1995,9,0,18,357,90,1,100,0,0,371,0,0,302,1,347,1,0,11,0,0,1,0,12,0,0,139,28,1,85,3,0,8,2,1,0,0,2,0,0,0,0,236,2,76,6,152,2,1,0,161,1,2,6,20
1996,12,0,17,348,78,1,105,0,1,379,0,0,304,1,368,1,0,11,0,0,1,1,10,0,0,140,29,2,87,2,0,8,5,1,0,0,2,0,0,0,0,246,2,73,6,160,2,0,0,167,1,2,8,19
1997,12,0,17,367,78,0,91,0,1,387,0,0,310,1,369,1,0,11,0,0,1,0,14,0,0,139,29,2,63,10,0,8,13,2,0,0,2,0,0,0,0,244,2,70,6,156,2,0,0,168,2,3,6,20
1998,13,0,17,375,76,0,78,0,1,379,0,0,318,1,367,1,0,12,0,0,1,0,13,0,0,153,30,2,72,3,0,8,15,2,1,0,2,0,0,0,1,244,2,74,6,159,2,0,0,177,3,2,7,21
1999,13,0,17,361,81,1,88,0,1,378,0,0,350,1,344,1,0,12,0,0,1,0,12,0,0,152,34,1,75,39,0,10,16,2,2,0,2,0,0,0,0,239,3,70,6,159,3,0,0,176,1,3,7,22
2000,17,0,15,365,79,1,88,0,1,375,0,0,367,1,344,1,0,11,0,0,1,0,14,0,0,155,36,2,78,29,0,14,5,2,4,0,2,0,0,0,0,235,5,74,6,162,3,1,0,156,1,3,7,23
2001,20,0,16,370,76,1,99,0,1,369,0,0,373,1,335,1,0,12,0,0,1,1,14,0,0,128,41,2,82,30,0,19,5,2,4,0,2,0,0,0,0,231,5,53,6,168,4,1,0,153,1,2,7,23
2002,20,0,12,322,76,0,110,0,1,371,0,0,368,0,330,1,0,10,0,0,1,0,12,0,0,153,37,2,84,16,0,26,2,2,0,0,2,0,0,0,0,228,2,61,5,170,2,0,0,156,1,2,6,19
2003,14,0,9,323,80,0,116,0,0,376,0,0,373,1,324,1,0,10,0,0,1,0,8,0,0,130,49,1,83,22,0,27,11,1,5,0,2,0,0,0,0,234,7,61,6,175,3,1,0,163,1,1,4,21
2004,22,0,10,381,78,1,133,0,1,377,0,0,365,1,319,1,0,10,0,0,1,1,17,0,0,125,40,2,81,8,0,30,2,1,4,0,2,0,0,0,1,223,4,61,6,164,4,1,0,163,2,2,6,25
2005,21,0,9,396,76,1,130,0,1,374,0,0,387,1,312,1,0,10,0,0,1,0,15,0,0,126,37,2,80,6,0,33,4,1,4,0,2,0,0,0,2,221,4,58,7,162,8,0,0,158,2,2,6,28
2006,22,0,10,411,80,0,140,0,1,357,0,0,392,1,313,1,0,10,0,0,2,1,19,0,0,121,44,3,81,11,0,33,4,2,6,0,2,0,0,0,1,227,5,57,6,159,8,1,0,156,2,2,5,26
2007,26,0,12,403,86,0,141,0,1,344,0,0,396,2,309,1,0,10,0,0,1,1,17,0,0,127,33,2,83,10,0,38,5,0,4,0,4,0,0,0,1,228,4,55,6,171,10,1,0,160,2,1,6,27
2008,20,0,9,364,93,0,141,0,2,376,0,0,424,2,305,1,0,10,0,0,2,1,17,0,0,129,20,1,85,6,0,24,2,1,0,0,1,0,0,0,1,231,3,56,6,174,2,0,0,145,2,2,6,27
2009,22,0,9,401,91,0,116,0,1,347,0,0,459,2,317,1,0,8,0,0,2,1,16,0,0,113,25,2,83,6,0,34,2,0,0,0,1,0,0,0,1,229,4,66,7,176,9,0,0,161,2,3,6,22
